state,constituency,candidate,party,status,votes,pct_electors,pct_valid
Maharashtra,Nagpur (GEN),BABITA RAJU AWASTHI,IND,Z,182,0.01,0.02
Maharashtra,Chandrapur (GEN),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,N,718410,39.05,58.39
Maharashtra,Chandrapur (GEN),PURNIMA DILIP GHONMODE,BARESP,U,973,0.05,0.08
Maharashtra,Chandrapur (GEN),VANITA JITENDRA RAUT,ABMP,U,1057,0.06,0.09
Maharashtra,Yavatmal- Washim (GEN),RAJSHRITAI HEMANT PATIL (MAHALLE),SHS,S,500334,25.76,41.14
Maharashtra,,RUKMINBAI SHANKARRAO GITE,BPSJP,U,903,0.05,0.08
Maharashtra,,SUSHILA NILKANTHRAO PAWAR,SMNKJP,U,1890,0.1,0.17
Maharashtra,,KALPANA SANJAY GAIKWAD,IND,Z,1310,0.07,0.12
Maharashtra,Parbhani (GEN),SANGEETA VYAKANTRAO GIRI,SSS,U,2339,0.11,0.18
Maharashtra,Aurangabad (GEN),PANCHASHILA BABULAL JADHAV,RBS,U,1274,0.06,0.1
Maharashtra,Aurangabad (GEN),PRATIKSHA PRASHANT CHAVAN,ARP,U,1194,0.06,0.09
Maharashtra,Aurangabad (GEN),MANISHA KHARAT,BAHUMP,U,3105,0.15,0.24
Maharashtra,Aurangabad (GEN),MEENASING AVDHESHSING SING,IND,Z,784,0.04,0.06
Maharashtra,,DHOMSE MALATI RAHUL,VBA,U,37103,2.0,3.01
Maharashtra,Nashik (GEN),JAYSHRI MAHENDRA PATIL,SaSP,U,2426,0.12,0.2
Maharashtra,Nashik (GEN),DARSHANA AMOL MEDHE,PRCP,U,4736,0.23,0.38
Maharashtra,Nashik (GEN),BHAGYASHRI NITIN ADSUL,INDPPLSADH,U,1244,0.06,0.1
Maharashtra,Nashik (GEN),TILOTTAMA SUNIL JAGTAP,IND,Z,656,0.03,0.05
Maharashtra,,VIJAYA RAJKUMAR MHATRE,VBA,U,10936,0.51,0.81
Maharashtra,,MEENA KISHOR BHAD,IND,Z,14235,0.66,1.05
Maharashtra,Bhiwandi (GEN),KANCHAN VINAYAK VAKHARE,NRSP,U,24625,1.18,1.98
Maharashtra,Bhiwandi (GEN),TARA PINTYA WAGHE,IND,Z,6908,0.33,0.56
Maharashtra,Bhiwandi (GEN),MANISHA SANTOSH GONDHALE,IND,Z,5120,0.25,0.41
Maharashtra,Bhiwandi (GEN),RANJANA RAVI TRIBHUWAN,IND,Z,1085,0.05,0.09
Maharashtra,,POONAM JAGANNATH BAISANE,BARESP,U,1381,0.07,0.13
Maharashtra,,SUSHILA KASHINATH KAMBLE,BSP(A),U,1858,0.09,0.18
Maharashtra,,ASHWINI AMOL KENDRE,IND,Z,2468,0.12,0.24
Maharashtra,,ARCHANA DINKAR GAIKWAD,IND,Z,1180,0.05,0.09
Maharashtra,Mumbai North West (GEN),SARIKA DABRAL,INGRP,U,768,0.04,0.08
Maharashtra,Mumbai North West (GEN),ADV. LATA PANDURANG SHINDE,IND,Z,1154,0.07,0.12
Maharashtra,Mumbai North West (GEN),SUSHMA DAYANAND MEHTA,IND,Z,882,0.05,0.09
Maharashtra,Mumbai North West (GEN),HRUDA DHANANJAY SHINDE,IND,Z,1078,0.06,0.11
Maharashtra,Mumbai North Central (GEN),GAIKWAD VARSHA EKNATH,INC,N,445545,25.54,49.46
Maharashtra,Mumbai North Central (GEN),HARSHADA BABURAV JADHAV,MVA,U,690,0.04,0.08
Maharashtra,Mumbai North Central (GEN),NAZMAKHATHUN MOHAMMED ZAFAR KHAN,IND,Z,732,0.04,0.08
Maharashtra,Mumbai North Central (GEN),RAMA ARUN SABLE,IND,Z,636,0.04,0.07
Maharashtra,Mumbai South (GEN),YAMINI YASHWANT JADHAV,SHS,S,342982,22.32,45.15
Maharashtra,Mumbai South (GEN),GOHIL MANISHA SHIVRAM,IND,Z,1045,0.07,0.14
Maharashtra,,ANJANI ASHWIN KELKAR,IND,Z,1350,0.08,0.14
Maharashtra,Maval (GEN),MADHAVITAI NARESH JOSHI,VBA,U,27768,1.07,1.98
Maharashtra,Pune (GEN),VIJAYALAXMI SHRIKANT SINDAGI,RASMARP,U,240,0.01,0.02
Maharashtra,Pune (GEN),ASHWINI PRATIBHA KHAIRNAR,IND,Z,415,0.02,0.04
Maharashtra,Pune (GEN),DR. DEVYANI PANDIT,IND,Z,650,0.03,0.06
Maharashtra,Baramati (GEN),PRIYADARSHANI NANDKUMAR KOKARE,BSP,N,10030,0.42,0.71
Maharashtra,Baramati (GEN),SUNETRA AJITDADA PAWAR,NCP,S,573979,24.17,40.91
Maharashtra,Baramati (GEN),SUPRIYA SULE,NCPSP,S,732312,30.84,52.19
Maharashtra,Baramati (GEN),KAMBLE TRISHALA,BSP(A),U,5036,0.21,0.36
Maharashtra,Baramati (GEN),SAVITA BHIMRAO KADALE,HJP,U,551,0.02,0.04
Maharashtra,Baramati (GEN),KALYANI SUJITKUMAR WAGHMODE,IND,Z,1975,0.08,0.14
Maharashtra,Baramati (GEN),SHUBHANGI DHAYGUDE,IND,Z,1292,0.05,0.09
Maharashtra,Beed (GEN),PANKAJA GOPINATHRAO MUNDE,BJP,N,677397,31.55,44.56
Maharashtra,Beed (GEN),KARUNA DHANANJAY MUNDE,SSS,U,1599,0.07,0.11
Maharashtra,Beed (GEN),LAXMIBAI BAJIRAO MORE,IND,Z,382,0.02,0.03
Maharashtra,Beed (GEN),SHITAL SHIVAJI DHONDRE,IND,Z,1303,0.06,0.09
Maharashtra,Latur (SC),ATITHI KHANDERAO SURYVANSHI,SSS,U,5178,0.26,0.42
Maharashtra,Satara (GEN),PRATIBHA SHELAR,IND,Z,1123,0.06,0.09
Maharashtra,Satara (GEN),SEEMA SUNIL POTDAR,IND,Z,3458,0.18,0.29
Maharashtra,Kolhapur (GEN),KRUSHNABAI DIPAK CHOUGALE,IND,Z,3063,0.16,0.22
Maharashtra,Kolhapur (GEN),MADHURI RAJU JADHAV,IND,Z,3508,0.18,0.25
Meghalaya,Shillong (ST),DR. MAZEL AMPAREEN LYNGDOH,NPEP,N,186488,13.29,18.16
Meghalaya,Tura (ST),AGATHA K SANGMA,NPEP,N,228678,27.63,34.22
Mizoram,MIZORAM (ST),RITA MALSAWMI,MPC,U,3793,0.44,0.77
