State,seats,avg_lat,avg_lon,avg_turnout,women_won,avg_margin,total_electors,fiscal_return,region,male_electors,female_electors,gender_ratio,female_voter_pct,area_km2,literacy,pop_2024,women_contestants,women_elected,forfeit_rate,punishment_value,electors_per_seat
Meghalaya,2,25.543595768903437,91.09454368979797,77.715,0,29.43,2230451.0,210.5,Northeast,1103313,1127135,1021.5913344626592,50.53401827794237,22429.0,75.5,3.8,2,0,0.0,0.26325,1115225.5
Mizoram,1,23.307204291636523,92.83237197524022,57.04,0,13.9,861327.0,340.2,Northeast,419677,441650,1052.3569316402852,51.27553182473091,21081.0,91.6,1.3,1,0,100.0,-0.19069999999999987,861327.0
NCT OF Delhi,7,28.636378922689435,77.16073211279753,58.565714285714286,0,11.007142857142856,15214638.0,15.2,North,8223745,6989665,849.9369812658344,45.94410457616011,1484.0,86.2,22.0,23,2,91.30434782608695,0.9468,2173519.714285714
Nagaland,1,26.06271902740448,94.46653260814134,57.4,1,6.7,1325383.0,285.1,Northeast,664460,660923,994.6768804743704,49.86656687161371,16579.0,80.1,2.3,0,0,0.0,0.0021499999999999853,1325383.0
Odisha,21,20.563089078982305,84.95129016363273,74.59571428571428,2,8.84952380952381,33716965.0,88.9,East,17097140,16616361,971.87956582212,49.28696370038816,155707.0,73.5,47.0,33,4,63.63636363636363,0.68885,1605569.761904762
Puducherry,1,11.89422863458566,79.84617538950796,78.9,0,16.9,1024024.0,,,480876,542997,1129.1829910413496,53.03362819412173,,,,3,0,100.0,0.825,1024024.0
Punjab,13,30.94048031665954,75.4657012365153,62.73615384615384,1,6.906923076923078,21567196.0,45.2,North,11389031,10177392,893.6135128616297,47.190913393472805,50362.0,76.7,31.0,26,1,84.61538461538461,0.8418,1659015.076923077
Rajasthan,25,26.490751209060463,74.79142499890223,61.8888,3,12.698400000000001,53508010.0,87.4,West,27874533,25632849,919.5794957354084,47.905257259643165,342239.0,67.1,82.0,19,3,57.89473684210527,0.6940999999999999,2140320.4
Sikkim,1,27.5697804312908,88.47294937102235,82.48,0,21.0,466643.0,420.1,Northeast,234871,231769,986.7927500628005,49.667623864220815,7096.0,82.2,0.7,1,0,100.0,-0.47035000000000005,466643.0
Tamil Nadu,39,11.217781838045608,78.62107268670835,70.31051282051283,2,20.148974358974357,62404947.0,29.7,South,30674944,31721536,1034.1187908933102,50.83866269379298,130058.0,80.3,78.0,77,5,90.9090909090909,0.89605,1600126.8461538462
Telangana,17,17.72769973944084,78.88217604783497,68.23176470588236,2,15.995882352941177,33232318.0,33.5,South,16528366,16701192,1010.456327019864,50.26004859890102,112077.0,66.5,39.0,50,2,88.0,0.88275,1954842.2352941176
Tripura,2,23.709154922494633,91.6519419857797,81.63499999999999,2,46.735,2870896.0,178.4,Northeast,1447051,1423776,983.9155634459324,49.594629004116236,10486.0,87.8,4.2,2,1,50.0,0.37560000000000004,1435448.0
Uttar Pradesh,80,27.069003453245266,80.65889455059579,57.060874999999996,8,8.6675,154403112.0,118.3,Central,82340364,72056115,875.1007586024273,46.669532535129896,243286.0,69.7,240.0,80,7,71.25,0.5859500000000001,1930038.9
Uttarakhand,5,30.01524983838189,79.0508985271068,56.36800000000001,1,25.564,8431101.0,78.3,North,4408133,4022671,912.5566311179812,47.713966544590534,53483.0,79.6,12.0,4,1,75.0,0.7259500000000001,1686220.2
West Bengal,42,23.499741779203646,88.1162069035105,79.34738095238096,10,9.740238095238094,76124780.0,72.3,East,38724016,37398991,965.7828619841496,49.129681648020025,88752.0,77.1,100.0,72,11,73.61111111111111,0.74695,1812494.761904762
